flow_id,total_bytes,total_packets,bytes_per_packet,fwd_rev_byte_ratio,duration,packets_per_sec,bytes_per_sec,iat_mean,iat_std,packet_size_mean,packet_size_std,size_bin_small_ratio,destination_port,dns_query_count,dns_domain_entropy,periodicity_cv,label,split,scenario
web-001,18420,24,767.5,2.10,3.20,7.50,5756.25,0.1391,0.0210,767.5,84.2,0.08,443,0,0.0,0.1510,0,train,benign-web
web-002,22100,28,789.3,1.85,4.10,6.83,5390.24,0.1519,0.0301,789.3,91.0,0.07,443,0,0.0,0.1982,0,train,benign-web
web-003,15600,21,742.9,2.30,2.80,7.50,5571.43,0.1400,0.0180,742.9,76.5,0.10,80,0,0.0,0.1286,0,train,benign-web
web-004,31800,35,908.6,1.70,5.20,6.73,6115.38,0.1529,0.0270,908.6,110.0,0.05,443,0,0.0,0.1766,0,train,benign-web
web-005,12600,18,700.0,2.00,2.40,7.50,5250.00,0.1412,0.0220,700.0,72.0,0.11,443,0,0.0,0.1558,0,train,benign-web
web-006,27400,31,883.9,1.95,4.60,6.74,5956.52,0.1533,0.0250,883.9,102.0,0.06,8443,0,0.0,0.1631,0,train,benign-web
web-007,19800,26,761.5,2.20,3.70,7.03,5351.35,0.1480,0.0200,761.5,87.0,0.08,443,0,0.0,0.1351,0,train,benign-web
web-008,40200,42,957.1,1.60,6.40,6.56,6281.25,0.1561,0.0320,957.1,120.0,0.04,443,0,0.0,0.2050,0,train,benign-web
web-009,16800,23,730.4,2.05,3.10,7.42,5419.35,0.1409,0.0190,730.4,79.0,0.09,80,0,0.0,0.1348,0,train,benign-web
web-010,24600,30,820.0,1.90,4.40,6.82,5590.91,0.1517,0.0240,820.0,95.0,0.07,443,0,0.0,0.1582,0,train,benign-web
 dns-001,4200,18,233.3,1.20,2.10,8.57,2000.00,0.1235,0.0170,233.3,31.0,0.32,53,3,2.80,0.1377,0,train,benign-dns
 dns-002,5100,20,255.0,1.30,2.40,8.33,2125.00,0.1263,0.0160,255.0,35.0,0.28,53,4,2.90,0.1267,0,train,benign-dns
 dns-003,3600,16,225.0,1.15,1.90,8.42,1894.74,0.1267,0.0190,225.0,29.0,0.35,53,3,2.70,0.1500,0,train,benign-dns
 dns-004,6200,22,281.8,1.25,2.80,7.86,2214.29,0.1333,0.0210,281.8,38.0,0.25,53,5,3.00,0.1575,0,train,benign-dns
 dns-005,4700,19,247.4,1.18,2.20,8.64,2136.36,0.1222,0.0150,247.4,33.0,0.30,53,4,2.85,0.1227,0,train,benign-dns
 dns-006,5800,21,276.2,1.28,2.60,8.08,2230.77,0.1300,0.0180,276.2,36.0,0.27,53,4,2.95,0.1385,0,train,benign-dns
 dns-007,3900,17,229.4,1.22,2.00,8.50,1950.00,0.1250,0.0170,229.4,30.0,0.34,53,3,2.75,0.1360,0,train,benign-dns
 dns-008,6600,24,275.0,1.35,3.00,8.00,2200.00,0.1304,0.0200,275.0,40.0,0.24,53,5,3.05,0.1534,0,train,benign-dns
 ssh-001,9200,32,287.5,1.05,12.0,2.67,766.67,0.3871,0.0700,287.5,46.0,0.22,22,0,0.0,0.1808,0,train,benign-ssh
 ssh-002,11400,38,300.0,1.10,14.0,2.71,814.29,0.3784,0.0650,300.0,49.0,0.20,22,0,0.0,0.1718,0,train,benign-ssh
 ssh-003,7600,28,271.4,1.08,10.0,2.80,760.00,0.3704,0.0600,271.4,43.0,0.25,22,0,0.0,0.1620,0,train,benign-ssh
 ssh-004,13200,44,300.0,1.12,16.0,2.75,825.00,0.3721,0.0750,300.0,51.0,0.18,22,0,0.0,0.2016,0,train,benign-ssh
